Litter_ID,Case_ID,Strain,Litter_ID_better,DOB,Sex,Age_days,Body_Weight_g,Number_Calls_3min,Duration_Calls_Mean_sec,Duration_Calls_Mean_msec,Frequency_Call_Day_Mean_Hz,Frequency_Call_Day_Mean_Khz,Peak_Amplitude_Calls_dB
4,D2.11,DBA/2J,DBA/2J_4,06/09/2012,F,8,5.3,68,0.0281,28.1,69921,69.92,-16.48
4,D2.11,DBA/2J,DBA/2J_4,06/09/2012,F,9,5.5,135,0.0298,29.8,63957,63.96,-17.02
4,D2.11,DBA/2J,DBA/2J_4,06/09/2012,F,Mean,4.6,78.33333333,0.034,34,66488.66667,66.49,-17.39333333
4,D2.12,DBA/2J,DBA/2J_4,06/09/2012,F,7,2.8,278,0.0342,34.2,69653,69.65,-21.36
4,D2.12,DBA/2J,DBA/2J_4,06/09/2012,F,8,3.2,348,0.0336,33.6,66006,66.01,-19.3
4,D2.12,DBA/2J,DBA/2J_4,06/09/2012,F,9,3.8,334,0.0387,38.7,63610,63.61,-13.68
4,D2.12,DBA/2J,DBA/2J_4,06/09/2012,F,Mean,3.266666667,320,0.0355,35.5,66423,66.42333333,-18.11333333
4,D2.13,DBA/2J,DBA/2J_4,06/09/2012,M,7,2.7,198,0.0488,48.8,66649,66.65,-11.97
4,D2.13,DBA/2J,DBA/2J_4,06/09/2012,M,8,3,171,0.0392,39.2,71108,71.11,-17.7
4,D2.13,DBA/2J,DBA/2J_4,06/09/2012,M,9,3.5,143,0.0372,37.2,67246,67.25,-21.84
4,D2.13,DBA/2J,DBA/2J_4,06/09/2012,M,Mean,3.066666667,170.6666667,0.041733333,41.73333333,68334.33333,68.33666667,-17.17
4,D2.14,DBA/2J,DBA/2J_4,06/09/2012,M,7,2.5,23,0.0326,32.6,66126,66.13,-26.81
4,D2.14,DBA/2J,DBA/2J_4,06/09/2012,M,8,3,488,0.0384,38.4,66315,66.32,-21.54
4,D2.14,DBA/2J,DBA/2J_4,06/09/2012,M,9,3.5,377,0.0391,39.1,63668,63.67,-18.23
4,D2.14,DBA/2J,DBA/2J_4,06/09/2012,M,Mean,3,296,0.0367,36.7,65369.66667,65.37333333,-22.19333333
4,D2.15,DBA/2J,DBA/2J_4,06/09/2012,F,7,3.1,256,0.0317,31.7,68447,68.45,-20.91
4,D2.15,DBA/2J,DBA/2J_4,06/09/2012,F,8,2.8,373,0.0352,35.2,63226,63.23,-21.86
4,D2.15,DBA/2J,DBA/2J_4,06/09/2012,F,9,3.3,558,0.0279,27.9,59937,59.94,-22.55
4,D2.15,DBA/2J,DBA/2J_4,06/09/2012,F,Mean,3.066666667,395.6666667,0.0316,31.6,63870,63.87333333,-21.77333333
5,D2.16,DBA/2J,DBA/2J_5,14/09/2012,M,7,4.6,77,0.0374,37.4,65836,65.84,-11.7
5,D2.16,DBA/2J,DBA/2J_5,14/09/2012,M,8,3.1,82,0.0381,38.1,63702,63.7,-20.33
5,D2.16,DBA/2J,DBA/2J_5,14/09/2012,M,9,4,272,0.0374,37.4,62976,62.98,-19.99
5,D2.16,DBA/2J,DBA/2J_5,14/09/2012,M,Mean,3.9,143.6666667,0.037633333,37.63333333,64171.33333,64.17333333,-17.34
5,D2.17,DBA/2J,DBA/2J_5,14/09/2012,M,7,4.4,54,0.0244,24.4,66907,66.91,-14.56
5,D2.17,DBA/2J,DBA/2J_5,14/09/2012,M,8,5,121,0.0331,33.1,62537,62.54,-17.36
5,D2.17,DBA/2J,DBA/2J_5,14/09/2012,M,9,5.6,76,0.0333,33.3,67447,67.45,-31.36
5,D2.17,DBA/2J,DBA/2J_5,14/09/2012,M,Mean,5,83.66666667,0.030266667,30.26666667,65630.33333,65.63333333,-21.09333333
5,D2.18,DBA/2J,DBA/2J_5,14/09/2012,F,7,4.1,114,0.0367,36.7,64359,64.36,-13.58
5,D2.18,DBA/2J,DBA/2J_5,14/09/2012,F,8,4.9,139,0.0394,39.4,67023,67.02,-14.1
5,D2.18,DBA/2J,DBA/2J_5,14/09/2012,F,9,5.2,91,0.0478,47.8,68307,68.31,-29.04
5,D2.18,DBA/2J,DBA/2J_5,14/09/2012,F,Mean,4.733333333,114.6666667,0.0413,41.3,66563,66.56333333,-18.90666667
5,D2.19,DBA/2J,DBA/2J_5,14/09/2012,M,7,4.2,83,0.0363,36.3,66106,66.11,-19.73
5,D2.19,DBA/2J,DBA/2J_5,14/09/2012,M,8,4.5,181,0.0374,37.4,65503,65.5,-15.96
5,D2.19,DBA/2J,DBA/2J_5,14/09/2012,M,9,5,158,0.0369,36.9,68863,68.86,-26.91
5,D2.19,DBA/2J,DBA/2J_5,14/09/2012,M,Mean,4.566666667,140.6666667,0.036866667,36.86666667,66824,66.82333333,-20.86666667
5,D2.20,DBA/2J,DBA/2J_5,14/09/2012,F,7,3.6,5,0.0497,49.7,67340,67.34,-15.83
5,D2.20,DBA/2J,DBA/2J_5,14/09/2012,F,8,4.6,112,0.0384,38.4,62265,62.27,-19.28
5,D2.20,DBA/2J,DBA/2J_5,14/09/2012,F,9,5.1,210,0.047,47,68435,68.44,-28.69
5,D2.20,DBA/2J,DBA/2J_5,14/09/2012,F,Mean,4.433333333,109,0.045033333,45.03333333,66013.33333,66.01666667,-21.26666667
6,D2.21,DBA/2J,DBA/2J_6,20/03/2013,M,7,4.1,339,0.0122,12.2,65133,65.13,-55.73
6,D2.21,DBA/2J,DBA/2J_6,20/03/2013,M,8,4.6,385,0.0307,30.74,53849,53.85,-38.71
6,D2.21,DBA/2J,DBA/2J_6,20/03/2013,M,9,5,270,0.0148,14.78,20183,20.18,-44.33
6,D2.21,DBA/2J,DBA/2J_6,20/03/2013,M,Mean,4.566666667,331.3333333,0.019233333,19.24,46388.33333,46.38666667,-46.25666667
6,D2.22,DBA/2J,DBA/2J_6,20/03/2013,F,7,3.1,229,0.0145,14.5,21234,21.23,-46.59
6,D2.22,DBA/2J,DBA/2J_6,20/03/2013,F,8,3.6,236,0.0359,35.87,59607,59.61,-30.86
6,D2.22,DBA/2J,DBA/2J_6,20/03/2013,F,9,3.8,111,0.0353,35.26,61180,61.18,-23.38
6,D2.22,DBA/2J,DBA/2J_6,20/03/2013,F,Mean,3.5,192,0.028566667,28.54333333,47340.33333,47.34,-33.61
6,D2.23,DBA/2J,DBA/2J_6,20/03/2013,F,7,3.9,443,0.0414,41.44,62409,62.41,-25.62
6,D2.23,DBA/2J,DBA/2J_6,20/03/2013,F,8,4.5,159,0.027,27.03,44440,44.44,-38.82
6,D2.23,DBA/2J,DBA/2J_6,20/03/2013,F,9,4.7,128,0.0415,41.46,62859,62.86,-26.39
6,D2.23,DBA/2J,DBA/2J_6,20/03/2013,F,Mean,4.366666667,243.3333333,0.036633333,36.64333333,56569.33333,56.57,-30.27666667
6,D2.24,DBA/2J,DBA/2J_6,20/03/2013,M,7,4.2,79,0.0251,25.09,60376,60.38,-44.25
6,D2.24,DBA/2J,DBA/2J_6,20/03/2013,M,8,4.4,316,0.0335,33.48,45443,45.44,-37.83
6,D2.24,DBA/2J,DBA/2J_6,20/03/2013,M,9,4.8,186,0.0344,34.39,49154,49.15,-33.65
6,D2.24,DBA/2J,DBA/2J_6,20/03/2013,M,Mean,4.466666667,193.6666667,0.031,30.98666667,51657.66667,51.65666667,-38.57666667
1,B6.1,C57BL/6J,C57BL/6J_1,11/09/2012,M,7,3.9,78,0.0156,15.6,70071,70.07,-27.75
1,B6.1,C57BL/6J,C57BL/6J_1,11/09/2012,M,8,4.5,35,0.0323,32.3,70540,70.54,-20.25
1,B6.1,C57BL/6J,C57BL/6J_1,11/09/2012,M,9,5,83,0.019,19,79208,79.21,-27.58
1,B6.1,C57BL/6J,C57BL/6J_1,11/09/2012,M,Mean,4.466666667,65.33333333,0.0223,22.3,73273,73.27333333,-25.19333333
1,B6.2,C57BL/6J,C57BL/6J_1,11/09/2012,F,7,4.4,30,0.0087,8.69,64397,64.4,-27.22
1,B6.2,C57BL/6J,C57BL/6J_1,11/09/2012,F,8,5,23,0.0085,8.47,69930,69.93,-32.25
1,B6.2,C57BL/6J,C57BL/6J_1,11/09/2012,F,9,5.6,164,0.0141,14.1,80598,80.6,-27.81
1,B6.2,C57BL/6J,C57BL/6J_1,11/09/2012,F,Mean,5,72.33333333,0.010433333,10.42,71641.66667,71.64333333,-29.09333333
1,B6.3,C57BL/6J,C57BL/6J_1,11/09/2012,M,7,4,226,0.0201,20.1,76375,76.38,-25.97
1,B6.3,C57BL/6J,C57BL/6J_1,11/09/2012,M,8,4.7,152,0.0177,17.7,67851,67.85,-26.97
1,B6.3,C57BL/6J,C57BL/6J_1,11/09/2012,M,9,5.2,236,0.0182,18.2,76017,76.02,-25.65
1,B6.3,C57BL/6J,C57BL/6J_1,11/09/2012,M,Mean,4.633333333,204.6666667,0.018666667,18.66666667,73414.33333,73.41666667,-26.19666667
1,B6.4,C57BL/6J,C57BL/6J_1,11/09/2012,F,7,4.2,4,0.0136,13.6,82600,82.6,-27.79
1,B6.4,C57BL/6J,C57BL/6J_1,11/09/2012,F,8,4.8,63,0.0172,17.2,68494,68.49,-23.78
1,B6.4,C57BL/6J,C57BL/6J_1,11/09/2012,F,9,5.4,242,0.0233,23.3,76349,76.35,-21.37
1,B6.4,C57BL/6J,C57BL/6J_1,11/09/2012,F,Mean,4.8,103,0.018033333,18.03333333,75814.33333,75.81333333,-24.31333333
1,B6.5,C57BL/6J,C57BL/6J_1,11/09/2012,F,7,4.4,68,0.0179,17.9,74430,74.43,-28.2
1,B6.5,C57BL/6J,C57BL/6J_1,11/09/2012,F,8,4.9,82,0.0188,18.8,68270,68.27,-27.51
1,B6.5,C57BL/6J,C57BL/6J_1,11/09/2012,F,9,5.5,313,0.0252,25.2,82645,82.65,-23.32
1,B6.5,C57BL/6J,C57BL/6J_1,11/09/2012,F,Mean,4.933333333,154.3333333,0.020633333,20.63333333,75115,75.11666667,-26.34333333
2,B6.6,C57BL/6J,C57BL/6J_2,11/09/2012,F,7,4.2,92,0.0127,12.7,62316,62.32,-25.62
2,B6.6,C57BL/6J,C57BL/6J_2,11/09/2012,F,8,4.7,92,0.0141,14.1,62874,62.87,-22.97
2,B6.6,C57BL/6J,C57BL/6J_2,11/09/2012,F,9,5.3,125,0.015,15,71565,71.56,-24.95
2,B6.6,C57BL/6J,C57BL/6J_2,11/09/2012,F,Mean,4.733333333,103,0.013933333,13.93333333,65585,65.58333333,-24.51333333
2,B6.7,C57BL/6J,C57BL/6J_2,11/09/2012,F,7,3.7,156,0.0168,16.8,80766,80.77,-27.76
2,B6.7,C57BL/6J,C57BL/6J_2,11/09/2012,F,8,4.1,292,0.0207,20.7,79531,79.53,-25.14
2,B6.7,C57BL/6J,C57BL/6J_2,11/09/2012,F,9,4.7,83,0.0131,13.1,88336,88.34,-30.45
2,B6.7,C57BL/6J,C57BL/6J_2,11/09/2012,F,Mean,4.166666667,177,0.016866667,16.86666667,82877.66667,82.88,-27.78333333
2,B6.8,C57BL/6J,C57BL/6J_2,11/09/2012,M,7,4,418,0.0169,16.9,85429,85.43,-30.29
2,B6.8,C57BL/6J,C57BL/6J_2,11/09/2012,M,8,4.5,29,0.0119,11.9,71272,71.27,-31.24
2,B6.8,C57BL/6J,C57BL/6J_2,11/09/2012,M,9,5,74,0.0224,22.4,90212,90.21,-26.51
2,B6.8,C57BL/6J,C57BL/6J_2,11/09/2012,M,Mean,4.5,173.6666667,0.017066667,17.06666667,82304.33333,82.30333333,-29.34666667
2,B6.9,C57BL/6J,C57BL/6J_2,11/09/2012,M,7,4.3,2,0.0263,26.3,78600,78.6,-17.15
2,B6.9,C57BL/6J,C57BL/6J_2,11/09/2012,M,8,4.7,141,0.0137,13.7,62628,62.63,-25.26
2,B6.9,C57BL/6J,C57BL/6J_2,11/09/2012,M,9,5.4,68,0.0125,12.5,78522,78.52,-26.92
2,B6.9,C57BL/6J,C57BL/6J_2,11/09/2012,M,Mean,4.8,70.33333333,0.0175,17.5,73250,73.25,-23.11
2,B6.10,C57BL/6J,C57BL/6J_2,11/09/2012,M,7,3,44,0.0132,13.2,69918,69.92,-30.46
2,B6.10,C57BL/6J,C57BL/6J_2,11/09/2012,M,8,3.1,127,0.0169,16.9,67660,67.66,-17.44
2,B6.10,C57BL/6J,C57BL/6J_2,11/09/2012,M,9,2.7,15,0.0241,24.1,77913,77.91,-17.12
2,B6.10,C57BL/6J,C57BL/6J_2,11/09/2012,M,Mean,2.933333333,62,0.018066667,18.06666667,71830.33333,71.83,-21.67333333
3,B6.11,C57BL/6J,C57BL/6J_3,13/09/2012,M,7,4.1,14,0.0191,19.1,63836,63.84,-26.43
3,B6.11,C57BL/6J,C57BL/6J_3,13/09/2012,M,8,4.6,107,0.0172,17.2,70848,70.85,-25.18
3,B6.11,C57BL/6J,C57BL/6J_3,13/09/2012,M,9,5.2,15,0.0204,20.4,63448,63.45,-18.9
3,B6.11,C57BL/6J,C57BL/6J_3,13/09/2012,M,Mean,4.633333333,45.33333333,0.0189,18.9,66044,66.04666667,-23.50333333
3,B6.12,C57BL/6J,C57BL/6J_3,13/09/2012,F,7,4.8,162,0.0248,24.8,68754,68.75,-22.2
3,B6.12,C57BL/6J,C57BL/6J_3,13/09/2012,F,8,5.2,87,0.0208,20.8,69054,69.05,-23.1
3,B6.12,C57BL/6J,C57BL/6J_3,13/09/2012,F,9,5.5,8,0.0148,14.8,61777,61.78,-26.06
3,B6.12,C57BL/6J,C57BL/6J_3,13/09/2012,F,Mean,5.166666667,85.66666667,0.020133333,20.13333333,66528.33333,66.52666667,-23.78666667
3,B6.13,C57BL/6J,C57BL/6J_3,13/09/2012,F,7,3.1,95,0.0183,18.3,79319,79.32,-27.75
3,B6.13,C57BL/6J,C57BL/6J_3,13/09/2012,F,8,3.4,184,0.0167,16.7,78392,78.39,-24.76
3,B6.13,C57BL/6J,C57BL/6J_3,13/09/2012,F,9,3.9,9,0.0119,11.9,88500,88.5,-27.39
3,B6.13,C57BL/6J,C57BL/6J_3,13/09/2012,F,Mean,3.466666667,96,0.015633333,15.63333333,82070.33333,82.07,-26.63333333
3,B6.14,C57BL/6J,C57BL/6J_3,13/09/2012,F,7,4.6,64,0.0103,10.3,70411,70.41,-25.84
3,B6.14,C57BL/6J,C57BL/6J_3,13/09/2012,F,8,5,88,0.0162,16.2,69490,69.49,-22.17
3,B6.14,C57BL/6J,C57BL/6J_3,13/09/2012,F,9,5.7,9,0.008,8.03,60743,60.74,-29.5
3,B6.14,C57BL/6J,C57BL/6J_3,13/09/2012,F,Mean,5.1,53.66666667,0.0115,11.51,66881.33333,66.88,-25.83666667
3,B6.15,C57BL/6J,C57BL/6J_3,13/09/2012,M,7,2.1,10,0.018,18,62800,62.8,-25.13
3,B6.15,C57BL/6J,C57BL/6J_3,13/09/2012,M,8,2.4,60,0.011,11,56770,56.77,-23.97
3,B6.15,C57BL/6J,C57BL/6J_3,13/09/2012,M,9,2.6,18,0.0173,17.3,65688,65.69,-24.9
3,B6.15,C57BL/6J,C57BL/6J_3,13/09/2012,M,Mean,2.366666667,29.33333333,0.015433333,15.43333333,61752.66667,61.75333333,-24.66666667
4,B6.16,C57BL/6J,C57BL/6J_4,16/09/2012,F,7,4.9,87,0.0156,15.6,64179,64.18,-41.34
4,B6.16,C57BL/6J,C57BL/6J_4,16/09/2012,F,8,5.2,191,0.0116,11.6,62645,62.64,-45.01
4,B6.16,C57BL/6J,C57BL/6J_4,16/09/2012,F,9,5.9,95,0.0092,9.17,52740,52.74,-46.24
4,B6.16,C57BL/6J,C57BL/6J_4,16/09/2012,F,Mean,5.333333333,124.3333333,0.012133333,12.12333333,59854.66667,59.85333333,-44.19666667
4,B6.17,C57BL/6J,C57BL/6J_4,16/09/2012,F,7,5.4,104,0.0174,17.4,71996,72,-41.34
4,B6.17,C57BL/6J,C57BL/6J_4,16/09/2012,F,8,5.5,59,0.0126,12.6,74420,74.42,-47.74
4,B6.17,C57BL/6J,C57BL/6J_4,16/09/2012,F,9,6.1,137,0.0144,14.4,79126,79.13,-42.98
4,B6.17,C57BL/6J,C57BL/6J_4,16/09/2012,F,Mean,5.666666667,100,0.0148,14.8,75180.66667,75.18333333,-44.02
4,B6.18,C57BL/6J,C57BL/6J_4,16/09/2012,M,7,5.3,198,0.0129,12.9,82529,82.53,-46.14
4,B6.18,C57BL/6J,C57BL/6J_4,16/09/2012,M,8,5.6,51,0.0123,12.3,70524,70.52,-47.74
4,B6.18,C57BL/6J,C57BL/6J_4,16/09/2012,M,9,6,59,0.0134,13.4,80080,80.08,-49.63
4,B6.18,C57BL/6J,C57BL/6J_4,16/09/2012,M,Mean,5.633333333,102.6666667,0.012866667,12.86666667,77711,77.71,-47.83666667
4,B6.19,C57BL/6J,C57BL/6J_4,16/09/2012,M,7,4.2,60,0.0111,11.1,65067,65.07,-44.46
4,B6.19,C57BL/6J,C57BL/6J_4,16/09/2012,M,8,4.6,62,0.0129,12.9,63745,63.75,-40.62
4,B6.19,C57BL/6J,C57BL/6J_4,16/09/2012,M,9,5.1,64,0.0094,9.36,53834,53.83,-47.23
4,B6.19,C57BL/6J,C57BL/6J_4,16/09/2012,M,Mean,4.633333333,62,0.011133333,11.12,60882,60.88333333,-44.10333333
4,B6.20,C57BL/6J,C57BL/6J_4,16/09/2012,F,7,4.4,187,0.0175,17.5,68316,68.32,-41.46
4,B6.20,C57BL/6J,C57BL/6J_4,16/09/2012,F,8,4.8,184,0.0126,12.6,60701,60.7,-42.51
4,B6.20,C57BL/6J,C57BL/6J_4,16/09/2012,F,9,5.4,63,0.0157,15.7,77379,77.38,-44.02
4,B6.20,C57BL/6J,C57BL/6J_4,16/09/2012,F,Mean,4.866666667,144.6666667,0.015266667,15.26666667,68798.66667,68.8,-42.66333333
4,B6.21,C57BL/6J,C57BL/6J_4,16/09/2012,M,7,4.3,87,0.0107,10.7,73085,73.09,-42.52
4,B6.21,C57BL/6J,C57BL/6J_4,16/09/2012,M,8,5.2,131,0.0126,12.6,69218,69.22,-44.66
4,B6.21,C57BL/6J,C57BL/6J_4,16/09/2012,M,9,5.2,82,0.0113,11.3,79143,79.14,-46.59
4,B6.21,C57BL/6J,C57BL/6J_4,16/09/2012,M,Mean,4.9,100,0.011533333,11.53333333,73815.33333,73.81666667,-44.59
4,B6.22,C57BL/6J,C57BL/6J_4,16/09/2012,M,7,4.5,119,0.0148,14.8,76631,76.63,-41.29
4,B6.22,C57BL/6J,C57BL/6J_4,16/09/2012,M,8,5,104,0.011,11,61485,61.48,-44.98
4,B6.22,C57BL/6J,C57BL/6J_4,16/09/2012,M,9,5.4,44,0.0108,10.8,73452,73.45,-42.71
4,B6.22,C57BL/6J,C57BL/6J_4,16/09/2012,M,Mean,4.966666667,89,0.0122,12.2,70522.66667,70.52,-42.99333333
5,B6.23,C57BL/6J,C57BL/6J_5,05/02/2013,F,7,5.1,60,0.0187,18.7,67755,67.76,-48.11
5,B6.23,C57BL/6J,C57BL/6J_5,05/02/2013,F,8,5.5,46,0.0165,16.5,78593,78.59,-57.11
5,B6.23,C57BL/6J,C57BL/6J_5,05/02/2013,F,9,6.4,167,0.0146,14.6,80586,80.59,-55.39
5,B6.23,C57BL/6J,C57BL/6J_5,05/02/2013,F,Mean,5.666666667,91,0.0166,16.6,75644.66667,75.64666667,-53.53666667
5,B6.24,C57BL/6J,C57BL/6J_5,05/02/2013,F,7,4.3,22,0.0222,22.2,69468,69.47,-46.19
5,B6.24,C57BL/6J,C57BL/6J_5,05/02/2013,F,8,4.7,30,0.0121,12.1,59027,59.03,-53.73
5,B6.24,C57BL/6J,C57BL/6J_5,05/02/2013,F,9,5.5,8,0.0154,15.4,63725,63.73,-60.77
5,B6.24,C57BL/6J,C57BL/6J_5,05/02/2013,F,Mean,4.833333333,20,0.016566667,16.56666667,64073.33333,64.07666667,-53.56333333
5,B6.25,C57BL/6J,C57BL/6J_5,05/02/2013,F,7,4.7,32,0.0124,12.4,86269,86.27,-53.66
5,B6.25,C57BL/6J,C57BL/6J_5,05/02/2013,F,8,5,42,0.0162,16.2,70719,70.72,-49.96
5,B6.25,C57BL/6J,C57BL/6J_5,05/02/2013,F,9,5.7,19,0.0158,15.8,76863,76.86,-54.83
5,B6.25,C57BL/6J,C57BL/6J_5,05/02/2013,F,Mean,5.133333333,31,0.0148,14.8,77950.33333,77.95,-52.81666667
5,B6.26,C57BL/6J,C57BL/6J_5,05/02/2013,F,7,4.8,14,0.019,19,79771,79.77,-49.62
5,B6.26,C57BL/6J,C57BL/6J_5,05/02/2013,F,8,5,174,0.0174,17.4,73439,73.44,-54.95
5,B6.26,C57BL/6J,C57BL/6J_5,05/02/2013,F,9,5.5,98,0.0122,12.2,77026,77.03,-58.69
5,B6.26,C57BL/6J,C57BL/6J_5,05/02/2013,F,Mean,5.1,95.33333333,0.0162,16.2,76745.33333,76.74666667,-54.42
6,B6.27,C57BL/6J,C57BL/6J_6,20/03/2013,F,7,4.2,570,0.0146,14.57,69459,69.46,-36.16
6,B6.27,C57BL/6J,C57BL/6J_6,20/03/2013,F,8,4.9,79,0.0116,11.55,54819,54.82,-55.81
6,B6.27,C57BL/6J,C57BL/6J_6,20/03/2013,F,9,5.3,186,0.01392,13.92,67013,67.01,-41.566
6,B6.27,C57BL/6J,C57BL/6J_6,20/03/2013,F,Mean,4.8,278.3333333,0.013373333,13.34666667,63763.66667,63.76333333,-44.512
6,B6.28,C57BL/6J,C57BL/6J_6,20/03/2013,M,7,4.1,277,0.0141,14.13,73029,73.03,-40.51
6,B6.28,C57BL/6J,C57BL/6J_6,20/03/2013,M,8,4.8,223,0.0277,27.72,51306,51.31,-42.27
6,B6.28,C57BL/6J,C57BL/6J_6,20/03/2013,M,9,5.4,224,0.01668,16.68,78437,78.44,-42.85
6,B6.28,C57BL/6J,C57BL/6J_6,20/03/2013,M,Mean,4.766666667,241.3333333,0.019493333,19.51,67590.66667,67.59333333,-41.87666667
6,B6.29,C57BL/6J,C57BL/6J_6,20/03/2013,F,7,4,504,0.0233,23.3,83009,83.01,-34.29
6,B6.29,C57BL/6J,C57BL/6J_6,20/03/2013,F,8,4.5,243,0.0316,31.64,59907,59.91,-38.48
6,B6.29,C57BL/6J,C57BL/6J_6,20/03/2013,F,9,5,260,0.01819,18.19,63745,63.74,-38.556
